ら戳,程蔼放,程放
2018/1/1,8,3
2018/1/2,9,3
2018/1/3,6,0
2018/1/4,7,-1
2018/1/5,6,0
2018/1/6,9,0
2018/1/7,8,2
2018/1/8,12,8
2018/1/9,8,2
2018/1/10,8,-1
2018/1/11,4,-2
2018/1/12,4,-2
2018/1/13,6,-1
2018/1/14,7,-2
2018/1/15,12,2
2018/1/16,14,9
2018/1/17,14,6
2018/1/18,12,2
2018/1/19,10,1
2018/1/20,11,1
2018/1/21,11,1
2018/1/22,5,2
2018/1/23,7,-2
2018/1/24,2,-2
2018/1/25,3,-2
2018/1/26,3,-3
2018/1/27,4,-4
2018/1/28,6,0
2018/1/29,5,-2
2018/1/30,5,-3
2018/1/31,7,0
2018/2/1,6,1
2018/2/2,8,-1
2018/2/3,8,-2
2018/2/4,3,-2
2018/2/5,3,-3
2018/2/6,2,-3
2018/2/7,4,-4
2018/2/8,6,-5
2018/2/9,8,0
2018/2/10,7,2
2018/2/11,4,-1
2018/2/12,4,-1
2018/2/13,6,-2
2018/2/14,10,5
2018/2/15,12,-1
2018/2/16,10,1
2018/2/17,7,-1
2018/2/18,6,-1
2018/2/19,9,1
2018/2/20,11,2
2018/2/21,8,0
2018/2/22,9,0
2018/2/23,10,2
2018/2/24,12,2
2018/2/25,10,3
2018/2/26,13,1
2018/2/27,13,3
2018/2/28,15,10
2018/3/1,14,3
2018/3/2,10,1
2018/3/3,16,8
2018/3/4,20,11
2018/3/5,20,4
2018/3/6,10,1
2018/3/7,12,7
2018/3/8,15,9
2018/3/9,8,1
2018/3/10,8,1
2018/3/11,13,3
2018/3/12,13,3
2018/3/13,18,7
2018/3/14,19,8
2018/3/15,20,10
2018/3/16,11,2
2018/3/17,13,3
2018/3/18,17,9
2018/3/19,16,8
2018/3/20,10,6
2018/3/21,10,8
2018/3/22,11,4
2018/3/23,13,1
2018/3/24,15,5
2018/3/25,17,6
2018/3/26,19,8
2018/3/27,20,8
2018/3/28,21,9
2018/3/29,21,8
2018/3/30,16,4
2018/3/31,19,9
2018/4/1,20,11
2018/4/2,22,12
2018/4/3,23,13
2018/4/4,22,9
2018/4/5,19,13
2018/4/6,20,9
2018/4/7,12,5
2018/4/8,12,7
2018/4/9,16,5
2018/4/10,20,11
2018/4/11,21,13
2018/4/12,21,8
2018/4/13,17,7
2018/4/14,20,15
2018/4/15,18,7
2018/4/16,18,8
2018/4/17,17,13
2018/4/18,20,8
2018/4/19,22,12
2018/4/20,25,11
2018/4/21,26,12
2018/4/22,26,13
2018/4/23,24,16
2018/4/24,22,16
2018/4/25,18,10
2018/4/26,21,11
2018/4/27,22,10
2018/4/28,23,11
2018/4/29,26,13
2018/4/30,24,13
2018/5/1,27,14
2018/5/2,21,17
2018/5/3,21,12
2018/5/4,19,13
2018/5/5,24,12
2018/5/6,24,17
2018/5/7,22,16
2018/5/8,20,13
2018/5/9,20,10
2018/5/10,19,6
2018/5/11,23,9
2018/5/12,24,13
2018/5/13,24,16
2018/5/14,25,12
2018/5/15,27,15
2018/5/16,26,17
2018/5/17,28,20
2018/5/18,28,16
2018/5/19,19,12
2018/5/20,23,14
2018/5/21,26,13
2018/5/22,26,17
2018/5/23,20,16
2018/5/24,27,16
2018/5/25,29,17
2018/5/26,27,16
2018/5/27,28,18
2018/5/28,28,18
2018/5/29,27,19
2018/5/30,21,18
2018/5/31,22,16
2018/6/1,25,14
2018/6/2,27,16
