ら戳,程蔼放,程放
2018/1/1,12,3
2018/1/2,11,3
2018/1/3,8,2
2018/1/4,9,0
2018/1/5,6,0
2018/1/6,10,2
2018/1/7,10,4
2018/1/8,12,9
2018/1/9,16,3
2018/1/10,11,2
2018/1/11,9,-1
2018/1/12,7,-1
2018/1/13,7,-1
2018/1/14,8,0
2018/1/15,12,3
2018/1/16,13,6
2018/1/17,15,6
2018/1/18,14,4
2018/1/19,9,3
2018/1/20,9,3
2018/1/21,9,3
2018/1/22,2,-2
2018/1/23,7,-3
2018/1/24,5,-4
2018/1/25,4,-5
2018/1/26,4,-3
2018/1/27,6,-3
2018/1/28,4,-2
2018/1/29,7,-1
2018/1/30,7,-2
2018/1/31,8,1
2018/2/1,6,2
2018/2/2,5,3
2018/2/3,8,3
2018/2/4,9,1
2018/2/5,8,-1
2018/2/6,8,-1
2018/2/7,8,0
2018/2/8,8,0
2018/2/9,10,1
2018/2/10,13,5
2018/2/11,13,1
2018/2/12,9,2
2018/2/13,10,1
2018/2/14,12,7
2018/2/15,14,3
2018/2/16,8,1
2018/2/17,11,0
2018/2/18,9,1
2018/2/19,9,3
2018/2/20,11,3
2018/2/21,8,2
2018/2/22,6,3
2018/2/23,10,2
2018/2/24,14,3
2018/2/25,8,4
2018/2/26,9,2
2018/2/27,11,4
2018/2/28,13,9
2018/3/1,18,5
2018/3/2,13,4
2018/3/3,14,7
2018/3/4,19,12
2018/3/5,17,6
2018/3/6,12,2
2018/3/7,7,4
2018/3/8,9,8
2018/3/9,15,4
2018/3/10,15,4
2018/3/11,13,4
2018/3/12,13,4
2018/3/13,17,8
2018/3/14,21,9
2018/3/15,20,13
2018/3/16,17,3
2018/3/17,11,6
2018/3/18,17,9
2018/3/19,17,7
2018/3/20,10,5
2018/3/21,7,7
2018/3/22,17,9
2018/3/23,13,7
2018/3/24,15,8
2018/3/25,18,8
2018/3/26,20,11
2018/3/27,21,12
2018/3/28,23,12
2018/3/29,23,11
2018/3/30,17,7
2018/3/31,17,11
2018/4/1,20,13
2018/4/2,23,14
2018/4/3,24,14
2018/4/4,24,11
2018/4/5,16,13
2018/4/6,21,17
2018/4/7,20,7
2018/4/8,16,8
2018/4/9,21,8
2018/4/10,18,12
2018/4/11,21,14
2018/4/12,23,10
2018/4/13,19,10
2018/4/14,18,15
2018/4/15,24,11
2018/4/16,18,12
2018/4/17,17,12
2018/4/18,17,12
2018/4/19,21,13
2018/4/20,25,13
2018/4/21,26,14
2018/4/22,28,15
2018/4/23,22,16
2018/4/24,22,18
2018/4/25,24,15
2018/4/26,24,16
2018/4/27,23,15
2018/4/28,24,16
2018/4/29,25,17
2018/4/30,24,16
2018/5/1,27,17
2018/5/2,25,19
2018/5/3,28,16
2018/5/4,23,14
2018/5/5,25,16
2018/5/6,27,17
2018/5/7,22,14
2018/5/8,15,11
2018/5/9,15,11
2018/5/10,17,10
2018/5/11,22,13
2018/5/12,25,16
2018/5/13,24,17
2018/5/14,27,16
2018/5/15,27,18
2018/5/16,28,20
2018/5/17,29,21
2018/5/18,29,21
2018/5/19,27,13
2018/5/20,22,14
2018/5/21,26,16
2018/5/22,26,17
2018/5/23,20,16
2018/5/24,29,19
2018/5/25,29,19
2018/5/26,24,17
2018/5/27,26,19
2018/5/28,26,20
2018/5/29,26,19
2018/5/30,23,18
2018/5/31,24,17
2018/6/1,27,17
2018/6/2,27,18
2018/6/3,28,18
2018/6/4,29,18
2018/6/5,28,20
2018/6/6,23,18
2018/6/7,27,20
2018/6/8,28,21
2018/6/9,30,19
2018/6/10,21,19
2018/6/11,22,19
2018/6/12,27,20
2018/6/13,25,18
2018/6/14,22,19
2018/6/15,21,16
2018/6/16,18,16
2018/6/17,24,19
2018/6/18,22,19
2018/6/19,26,20
2018/6/20,22,18
