ら戳,程蔼放,程放
2018/1/1,31,21
2018/1/2,32,23
2018/1/3,33,24
2018/1/4,34,24
2018/1/5,34,26
2018/1/6,32,26
2018/1/7,32,26
2018/1/8,32,25
2018/1/9,32,25
2018/1/10,30,20
2018/1/11,27,19
2018/1/12,27,16
2018/1/13,27,17
2018/1/14,29,18
2018/1/15,30,20
2018/1/16,32,20
2018/1/17,33,22
2018/1/18,34,22
2018/1/19,35,24
2018/1/20,33,23
2018/1/21,33,23
2018/1/22,34,25
2018/1/23,34,25
2018/1/24,33,25
2018/1/25,33,25
2018/1/26,32,25
2018/1/27,32,24
2018/1/28,33,24
2018/1/29,33,25
2018/1/30,32,23
2018/1/31,32,23
2018/2/1,28,20
2018/2/2,30,21
2018/2/3,29,18
2018/2/4,30,18
2018/2/5,31,19
2018/2/6,30,19
2018/2/7,32,20
2018/2/8,32,23
2018/2/9,31,24
2018/2/10,32,24
2018/2/11,33,25
2018/2/12,34,22
2018/2/13,32,21
2018/2/14,34,22
2018/2/15,34,23
2018/2/16,35,25
2018/2/17,34,25
2018/2/18,33,25
2018/2/19,32,26
2018/2/20,32,26
2018/2/21,32,26
2018/2/22,32,24
2018/2/23,30,25
2018/2/24,32,24
2018/2/25,34,25
2018/2/26,33,24
2018/2/27,32,24
2018/2/28,34,24
2018/3/1,34,25
2018/3/2,34,25
2018/3/3,34,25
2018/3/4,34,25
2018/3/5,34,26
2018/3/6,34,26
2018/3/7,33,26
2018/3/8,33,24
2018/3/9,30,21
2018/3/10,30,21
2018/3/11,33,25
2018/3/12,33,25
2018/3/13,33,25
2018/3/14,32,24
2018/3/15,32,25
2018/3/16,33,25
2018/3/17,34,25
2018/3/18,34,25
2018/3/19,34,26
2018/3/20,34,26
2018/3/21,33,24
2018/3/22,32,24
2018/3/23,32,24
2018/3/24,34,25
2018/3/25,34,26
2018/3/26,34,25
2018/3/27,33,25
2018/3/28,33,27
2018/3/29,32,26
2018/3/30,34,26
2018/3/31,34,26
2018/4/1,32,25
2018/4/2,32,26
2018/4/3,33,27
2018/4/4,33,27
2018/4/5,33,27
2018/4/6,34,25
2018/4/7,26,20
2018/4/8,30,22
2018/4/9,34,24
2018/4/10,36,26
2018/4/11,35,27
2018/4/12,35,27
2018/4/13,36,28
2018/4/14,36,28
2018/4/15,36,28
2018/4/16,35,27
2018/4/17,33,26
2018/4/18,33,26
2018/4/19,35,26
2018/4/20,34,27
2018/4/21,35,27
2018/4/22,35,28
2018/4/23,36,28
2018/4/24,36,28
2018/4/25,36,28
2018/4/26,34,27
2018/4/27,34,25
2018/4/28,29,25
2018/4/29,31,25
2018/4/30,31,25
2018/5/1,32,26
2018/5/2,32,25
2018/5/3,34,25
2018/5/4,33,26
2018/5/5,33,26
2018/5/6,34,26
2018/5/7,34,26
2018/5/8,35,26
2018/5/9,35,26
2018/5/10,34,26
2018/5/11,32,26
2018/5/12,33,26
2018/5/13,33,25
2018/5/14,34,26
2018/5/15,34,27
2018/5/16,34,27
2018/5/17,34,27
2018/5/18,34,26
2018/5/19,34,26
2018/5/20,35,26
2018/5/21,34,26
2018/5/22,33,26
2018/5/23,32,26
2018/5/24,33,27
2018/5/25,33,26
2018/5/26,33,26
2018/5/27,33,26
2018/5/28,33,26
2018/5/29,33,26
2018/5/30,33,26
2018/5/31,33,26
2018/6/1,33,25
2018/6/2,34,25
2018/6/3,34,25
2018/6/4,34,26
2018/6/5,33,25
2018/6/6,33,27
2018/6/7,29,26
2018/6/8,30,26
2018/6/9,30,26
2018/6/10,31,26
2018/6/11,32,28
2018/6/12,33,27
2018/6/13,34,26
2018/6/14,33,26
2018/6/15,33,27
2018/6/16,32,26
2018/6/17,31,27
2018/6/18,33,27
2018/6/19,32,27
2018/6/20,32,27
2018/6/21,34,27
2018/6/22,35,27
2018/6/23,36,27
2018/6/24,34,27
2018/6/25,34,26
2018/6/26,33,26
2018/6/27,31,26
2018/6/28,32,27
2018/6/29,34,26
2018/6/30,35,26
2018/7/1,36,27
2018/7/2,35,27
2018/7/3,35,27
2018/7/4,34,27
2018/7/5,33,28
2018/7/6,33,27
2018/7/7,33,27
2018/7/8,34,26
2018/7/9,33,26
2018/7/10,33,27
2018/7/11,31,27
2018/7/12,31,27
2018/7/13,30,26
2018/7/14,31,27
2018/7/15,31,26
2018/7/16,31,26
2018/7/17,32,27
2018/7/18,30,28
2018/7/19,32,27
2018/7/20,33,27
2018/7/21,33,27
2018/7/22,33,27
2018/7/23,33,27
2018/7/24,34,27
2018/7/25,34,27
2018/7/26,36,27
2018/7/27,36,27
2018/7/28,33,26
2018/7/29,33,26
2018/7/30,31,26
2018/7/31,31,26
2018/8/1,32,26
2018/8/2,32,25
2018/8/3,32,26
2018/8/4,32,26
2018/8/5,31,26
2018/8/6,32,26
2018/8/7,32,26
2018/8/8,31,26
2018/8/9,32,26
2018/8/10,32,26
2018/8/11,32,26
2018/8/12,31,27
2018/8/13,32,27
2018/8/14,32,26
2018/8/15,31,26
2018/8/16,32,27
2018/8/17,32,27
2018/8/18,33,27
2018/8/19,31,27
2018/8/20,32,27
2018/8/21,34,27
2018/8/22,34,26
2018/8/23,34,26
2018/8/24,33,26
2018/8/25,32,26
2018/8/26,30,26
2018/8/27,31,26
2018/8/28,31,26
2018/8/29,30,26
2018/8/30,32,26
2018/8/31,32,25
2018/9/1,33,25
2018/9/2,34,25
2018/9/3,32,26
2018/9/4,30,25
2018/9/5,31,24
2018/9/6,34,24
2018/9/7,35,24
2018/9/8,32,25
2018/9/9,31,25
2018/9/10,32,25
2018/9/11,34,24
2018/9/12,34,25
2018/9/13,34,24
2018/9/14,30,25
2018/9/15,31,25
2018/9/16,32,25
2018/9/17,33,25
2018/9/18,32,24
2018/9/19,30,25
2018/9/20,34,24
2018/9/21,33,24
2018/9/22,33,25
2018/9/23,31,25
2018/9/24,32,25
2018/9/25,33,24
2018/9/26,33,24
2018/9/27,34,26
2018/9/28,35,26
2018/9/29,33,25
2018/9/30,31,25
2018/10/1,32,26
2018/10/2,32,25
2018/10/3,33,24
2018/10/4,34,25
2018/10/5,31,25
2018/10/6,31,25
2018/10/7,32,24
2018/10/8,33,25
2018/10/9,34,26
2018/10/10,34,25
2018/10/11,32,25
2018/10/12,33,25
2018/10/13,33,26
2018/10/14,34,26
2018/10/15,33,26
2018/10/16,33,26
2018/10/17,34,26
2018/10/18,35,27
2018/10/19,33,26
2018/10/20,34,26
2018/10/21,32,26
2018/10/22,33,26
2018/10/23,33,25
2018/10/24,33,26
2018/10/25,33,26
2018/10/26,34,26
2018/10/27,34,26
2018/10/28,34,26
2018/10/29,34,25
2018/10/30,34,23
2018/10/31,32,21
2018/11/1,32,19
2018/11/2,32,21
2018/11/3,34,22
2018/11/4,34,23
2018/11/5,36,24
2018/11/6,35,26
2018/11/7,35,26
2018/11/8,33,27
2018/11/9,30,26
2018/11/10,31,25
2018/11/11,33,25
2018/11/12,34,25
2018/11/13,34,26
2018/11/14,34,26
2018/11/15,34,26
2018/11/16,34,26
2018/11/17,34,26
2018/11/18,34,26
2018/11/19,34,26
2018/11/20,34,26
2018/11/21,36,29
2018/11/22,34,29
2018/11/23,33,28
2018/11/24,33,27
2018/11/25,34,26
2018/11/26,33,25
2018/11/27,31,26
2018/11/28,31,25
2018/11/29,33,24
2018/11/30,33,26
2018/12/1,33,26
2018/12/2,34,27
2018/12/3,35,27
2018/12/4,35,28
2018/12/5,35,28
2018/12/6,35,29
2018/12/7,33,28
2018/12/8,31,27
2018/12/9,33,25
2018/12/10,32,26
2018/12/11,32,26
2018/12/12,33,27
2018/12/13,32,25
2018/12/14,32,25
2018/12/15,33,24
2018/12/16,34,26
2018/12/17,33,26
2018/12/18,33,26
2018/12/19,34,26
2018/12/20,35,27
2018/12/21,36,28
2018/12/22,35,29
2018/12/23,35,28
2018/12/24,35,28
2018/12/25,34,26
2018/12/26,34,26
2018/12/27,34,26
2018/12/28,34,26
2018/12/29,33,27
2018/12/30,30,26
2018/12/31,31,25
