ら戳,程蔼放,程放
2018/1/1,7,0
2018/1/2,8,-3
2018/1/3,6,-4
2018/1/4,6,-1
2018/1/5,8,-2
2018/1/6,8,-1
2018/1/7,8,3
2018/1/8,9,0
2018/1/9,6,0
2018/1/10,3,-7
2018/1/11,0,-9
2018/1/12,1,-5
2018/1/13,6,-3
2018/1/14,7,2
2018/1/15,12,4
2018/1/16,10,6
2018/1/17,9,1
2018/1/18,10,-2
2018/1/19,10,-1
2018/1/20,10,-1
2018/1/21,9,-4
2018/1/22,,
2018/1/23,0,-11
2018/1/24,-2,-10
2018/1/25,-1,-10
2018/1/26,-1,-10
2018/1/27,3,-4
2018/1/28,5,-7
2018/1/29,1,-7
2018/1/30,3,-3
2018/1/31,5,-3
2018/2/1,7,-4
2018/2/2,7,-4
2018/2/3,2,-7
2018/2/4,1,-8
2018/2/5,1,-9
2018/2/6,-1,-8
2018/2/7,2,-5
2018/2/8,5,-2
2018/2/9,10,2
2018/2/10,9,-4
2018/2/11,3,-5
2018/2/12,3,-3
2018/2/13,7,2
2018/2/14,14,-1
2018/2/15,10,-2
2018/2/16,11,-3
2018/2/17,6,-1
2018/2/18,9,2
2018/2/19,11,1
2018/2/20,13,0
2018/2/21,8,-2
2018/2/22,9,2
2018/2/23,13,2
2018/2/24,13,5
2018/2/25,14,2
2018/2/26,13,4
2018/2/27,15,6
2018/2/28,12,6
2018/3/1,11,-2
2018/3/2,10,2
2018/3/3,14,8
2018/3/4,17,8
2018/3/5,9,3
2018/3/6,9,4
2018/3/7,9,5
2018/3/8,7,3
2018/3/9,8,2
2018/3/10,8,2
2018/3/11,15,7
2018/3/12,15,7
2018/3/13,17,9
2018/3/14,18,11
2018/3/15,16,5
2018/3/16,8,3
2018/3/17,11,4
2018/3/18,15,9
2018/3/19,11,5
2018/3/20,7,4
2018/3/21,4,2
2018/3/22,11,2
2018/3/23,14,3
2018/3/24,16,6
2018/3/25,18,8
2018/3/26,19,8
2018/3/27,20,10
2018/3/28,20,10
2018/3/29,21,9
2018/3/30,16,7
2018/3/31,19,9
2018/4/1,20,11
2018/4/2,21,12
2018/4/3,21,12
2018/4/4,19,9
2018/4/5,14,12
2018/4/6,17,5
2018/4/7,11,3
2018/4/8,14,8
2018/4/9,18,8
2018/4/10,19,14
2018/4/11,22,10
2018/4/12,22,10
2018/4/13,16,11
2018/4/14,17,9
2018/4/15,18,7
2018/4/16,17,8
2018/4/17,18,10
2018/4/18,21,10
2018/4/19,22,11
2018/4/20,24,12
2018/4/21,24,14
2018/4/22,21,12
2018/4/23,15,12
2018/4/24,16,10
2018/4/25,20,8
