ら戳,程蔼放,程放
2018/1/1,20,14
2018/1/2,20,16
2018/1/3,22,16
2018/1/4,23,18
2018/1/5,20,15
2018/1/6,18,16
2018/1/7,17,11
2018/1/8,19,8
2018/1/9,11,8
2018/1/10,12,10
2018/1/11,15,10
2018/1/12,16,10
2018/1/13,16,11
2018/1/14,17,13
2018/1/15,20,16
2018/1/16,21,15
2018/1/17,21,16
2018/1/18,22,17
2018/1/19,19,17
2018/1/20,22,17
2018/1/21,22,17
2018/1/22,22,17
2018/1/23,21,16
2018/1/24,20,16
2018/1/25,20,13
2018/1/26,20,14
2018/1/27,17,12
2018/1/28,17,9
2018/1/29,11,9
2018/1/30,11,8
2018/1/31,11,8
2018/2/1,14,8
2018/2/2,14,8
2018/2/3,13,6
2018/2/4,15,8
2018/2/5,13,7
2018/2/6,14,9
2018/2/7,15,11
2018/2/8,16,13
2018/2/9,18,15
2018/2/10,20,11
2018/2/11,17,11
2018/2/12,16,12
2018/2/13,20,15
2018/2/14,20,14
2018/2/15,22,17
2018/2/16,22,17
2018/2/17,21,16
2018/2/18,20,18
2018/2/19,24,17
2018/2/20,25,16
2018/2/21,21,14
2018/2/22,16,13
2018/2/23,17,16
2018/2/24,19,16
2018/2/25,21,13
2018/2/26,20,16
2018/2/27,21,17
2018/2/28,22,17
2018/3/1,24,18
2018/3/2,23,20
2018/3/3,25,21
2018/3/4,26,20
2018/3/5,27,19
2018/3/6,20,17
2018/3/7,21,14
2018/3/8,14,12
2018/3/9,18,11
2018/3/10,20,15
2018/3/11,22,16
2018/3/12,23,19
2018/3/13,22,18
2018/3/14,23,18
2018/3/15,24,18
2018/3/16,25,18
2018/3/17,22,18
2018/3/18,26,20
2018/3/19,24,17
2018/3/20,21,13
2018/3/21,22,14
2018/3/22,22,16
2018/3/23,21,17
2018/3/24,23,17
2018/3/25,23,18
2018/3/26,23,19
2018/3/27,23,20
2018/3/28,25,20
2018/3/29,25,20
2018/3/30,25,20
2018/3/31,27,19
2018/4/1,27,21
2018/4/2,27,21
2018/4/3,28,21
2018/4/4,28,22
2018/4/5,29,21
2018/4/6,23,14
2018/4/7,20,15
2018/4/8,25,19
2018/4/9,25,20
2018/4/10,28,22
2018/4/11,29,22
2018/4/12,29,21
2018/4/13,29,24
2018/4/14,29,20
2018/4/15,23,18
2018/4/16,19,17
2018/4/17,23,19
2018/4/18,25,22
2018/4/19,26,22
2018/4/20,26,22
2018/4/21,27,22
2018/4/22,30,24
2018/4/23,29,22
2018/4/24,25,20
2018/4/25,26,22
2018/4/26,25,22
2018/4/27,26,22
2018/4/28,27,22
2018/4/29,27,24
2018/4/30,29,24
2018/5/1,30,24
2018/5/2,30,24
2018/5/3,30,22
2018/5/4,27,23
2018/5/5,28,24
2018/5/6,30,25
2018/5/7,28,23
2018/5/8,28,24
2018/5/9,27,22
2018/5/10,27,23
2018/5/11,27,23
2018/5/12,28,25
2018/5/13,30,25
2018/5/14,31,25
2018/5/15,31,27
2018/5/16,30,26
2018/5/17,31,26
2018/5/18,32,26
2018/5/19,33,26
2018/5/20,33,27
2018/5/21,33,27
2018/5/22,33,27
2018/5/23,33,27
2018/5/24,32,27
2018/5/25,32,27
2018/5/26,32,27
2018/5/27,32,27
2018/5/28,33,27
2018/5/29,33,27
2018/5/30,34,28
2018/5/31,30,28
2018/6/1,34,27
2018/6/2,31,25
2018/6/3,32,26
2018/6/4,30,27
2018/6/5,30,26
2018/6/6,28,25
2018/6/7,28,26
2018/6/8,28,25
2018/6/9,28,26
2018/6/10,31,26
2018/6/11,32,27
2018/6/12,30,26
2018/6/13,28,26
2018/6/14,30,25
2018/6/15,31,26
2018/6/16,29,24
2018/6/17,30,25
2018/6/18,31,26
2018/6/19,31,27
2018/6/20,31,27
2018/6/21,32,27
2018/6/22,30,26
2018/6/23,30,26
2018/6/24,31,26
2018/6/25,30,27
2018/6/26,31,26
2018/6/27,32,27
2018/6/28,32,27
2018/6/29,31,26
2018/6/30,33,27
2018/7/1,31,26
2018/7/2,32,27
2018/7/3,31,27
2018/7/4,32,28
2018/7/5,31,27
2018/7/6,32,28
2018/7/7,31,27
2018/7/8,32,27
2018/7/9,31,27
2018/7/10,32,27
2018/7/11,33,27
2018/7/12,32,27
2018/7/13,30,26
2018/7/14,29,26
2018/7/15,28,26
2018/7/16,31,26
2018/7/17,31,27
2018/7/18,30,26
2018/7/19,32,27
2018/7/20,32,28
2018/7/21,32,27
2018/7/22,32,26
2018/7/23,30,26
2018/7/24,29,26
2018/7/25,30,25
2018/7/26,31,26
2018/7/27,32,27
2018/7/28,32,26
2018/7/29,32,27
2018/7/30,31,27
2018/7/31,32,28
2018/8/1,33,27
2018/8/2,33,27
2018/8/3,32,27
2018/8/4,33,27
2018/8/5,33,26
2018/8/6,33,27
2018/8/7,33,28
2018/8/8,33,26
2018/8/9,32,26
2018/8/10,31,26
2018/8/11,30,26
2018/8/12,28,25
2018/8/13,29,26
2018/8/14,29,26
2018/8/15,28,24
2018/8/16,30,26
2018/8/17,30,25
2018/8/18,30,26
2018/8/19,31,27
2018/8/20,31,27
2018/8/21,32,26
2018/8/22,33,26
2018/8/23,31,26
2018/8/24,31,27
2018/8/25,31,26
2018/8/26,32,26
2018/8/27,31,25
2018/8/28,29,25
2018/8/29,28,25
2018/8/30,28,25
2018/8/31,30,26
2018/9/1,30,27
2018/9/2,30,26
2018/9/3,30,27
2018/9/4,32,26
2018/9/5,32,26
2018/9/6,30,26
2018/9/7,31,24
2018/9/8,29,24
2018/9/9,30,25
2018/9/10,30,25
2018/9/11,31,25
2018/9/12,30,25
2018/9/13,30,25
2018/9/14,32,25
2018/9/15,33,24
2018/9/16,27,24
2018/9/17,26,25
2018/9/18,30,26
2018/9/19,31,26
2018/9/20,32,25
2018/9/21,31,25
2018/9/22,31,25
2018/9/23,31,26
2018/9/24,30,25
2018/9/25,29,24
2018/9/26,30,25
2018/9/27,30,24
