ら戳,程蔼放,程放
2018/1/1,8,1
2018/1/2,9,2
2018/1/3,5,-1
2018/1/4,7,-1
2018/1/5,6,-1
2018/1/6,9,0
2018/1/7,9,0
2018/1/8,11,9
2018/1/9,10,-1
2018/1/10,8,-2
2018/1/11,4,-4
2018/1/12,5,-6
2018/1/13,6,-1
2018/1/14,7,-4
2018/1/15,11,1
2018/1/16,15,8
2018/1/17,13,6
2018/1/18,12,2
2018/1/19,11,0
2018/1/20,11,0
2018/1/21,11,0
2018/1/22,5,0
2018/1/23,8,-4
2018/1/24,2,-3
2018/1/25,2,-3
2018/1/26,2,-3
2018/1/27,4,-3
2018/1/28,5,-1
2018/1/29,5,-4
2018/1/30,5,-5
2018/1/31,7,-2
2018/2/1,6,1
2018/2/2,8,-1
2018/2/3,8,-3
2018/2/4,4,-3
2018/2/5,4,-5
2018/2/6,3,-6
2018/2/7,4,-6
2018/2/8,5,-7
2018/2/9,9,-2
2018/2/10,7,3
2018/2/11,6,-3
2018/2/12,5,-3
2018/2/13,6,-3
2018/2/14,10,5
2018/2/15,12,-1
2018/2/16,11,0
2018/2/17,7,-2
2018/2/18,6,-3
2018/2/19,10,2
2018/2/20,11,1
2018/2/21,7,-2
2018/2/22,9,-1
2018/2/23,11,-1
2018/2/24,13,1
2018/2/25,10,3
2018/2/26,14,-1
2018/2/27,14,2
2018/2/28,16,10
2018/3/1,16,2
2018/3/2,10,-1
2018/3/3,17,6
2018/3/4,21,11
2018/3/5,18,4
2018/3/6,11,0
2018/3/7,12,5
2018/3/8,14,10
2018/3/9,9,0
2018/3/10,9,0
2018/3/11,14,1
2018/3/12,14,1
2018/3/13,19,6
2018/3/14,21,8
2018/3/15,22,11
2018/3/16,14,2
2018/3/17,13,1
2018/3/18,18,9
2018/3/19,17,9
2018/3/20,10,6
2018/3/21,9,8
2018/3/22,11,5
2018/3/23,13,0
2018/3/24,16,3
2018/3/25,19,4
2018/3/26,21,6
2018/3/27,22,6
2018/3/28,23,7
2018/3/29,24,7
2018/3/30,16,2
2018/3/31,21,7
2018/4/1,22,10
2018/4/2,24,11
2018/4/3,25,11
2018/4/4,25,8
2018/4/5,19,13
2018/4/6,22,11
2018/4/7,13,3
2018/4/8,12,4
2018/4/9,15,3
2018/4/10,22,9
2018/4/11,20,12
2018/4/12,22,6
2018/4/13,18,4
2018/4/14,20,16
2018/4/15,18,6
2018/4/16,18,6
2018/4/17,18,12
2018/4/18,21,6
2018/4/19,24,10
2018/4/20,25,9
2018/4/21,28,11
2018/4/22,29,12
2018/4/23,27,16
2018/4/24,21,18
2018/4/25,19,10
2018/4/26,21,10
2018/4/27,23,10
2018/4/28,24,8
2018/4/29,28,12
2018/4/30,24,12
2018/5/1,29,14
2018/5/2,22,19
2018/5/3,23,10
2018/5/4,18,11
2018/5/5,25,11
2018/5/6,26,16
2018/5/7,22,16
2018/5/8,20,13
2018/5/9,20,13
2018/5/10,18,5
2018/5/11,26,9
2018/5/12,27,12
2018/5/13,20,16
2018/5/14,24,10
2018/5/15,30,15
2018/5/16,29,17
2018/5/17,30,20
2018/5/18,31,16
2018/5/19,19,9
2018/5/20,23,12
2018/5/21,26,11
2018/5/22,27,16
2018/5/23,19,14
2018/5/24,28,13
2018/5/25,31,16
2018/5/26,30,15
2018/5/27,30,16
2018/5/28,29,17
2018/5/29,28,18
2018/5/30,20,16
2018/5/31,22,15
2018/6/1,25,12
2018/6/2,28,14
2018/6/3,30,16
2018/6/4,30,15
2018/6/5,28,19
2018/6/6,22,19
2018/6/7,30,19
2018/6/8,27,21
2018/6/9,28,16
2018/6/10,24,20
2018/6/11,25,19
2018/6/12,24,16
2018/6/13,24,14
2018/6/14,27,16
2018/6/15,22,15
2018/6/16,25,13
2018/6/17,28,20
2018/6/18,24,20
2018/6/19,25,20
2018/6/20,25,20
2018/6/21,27,16
2018/6/22,30,18
2018/6/23,21,17
2018/6/24,29,18
2018/6/25,34,19
2018/6/26,32,24
2018/6/27,33,26
2018/6/28,32,25
2018/6/29,31,24
2018/6/30,31,23
2018/7/1,32,24
2018/7/2,32,24
2018/7/3,32,25
2018/7/4,28,24
2018/7/5,27,23
2018/7/6,26,23
2018/7/7,27,22
2018/7/8,31,22
2018/7/9,32,23
2018/7/10,33,23
2018/7/11,33,24
2018/7/12,32,23
2018/7/13,34,23
2018/7/14,36,23
2018/7/15,38,24
2018/7/16,37,24
2018/7/17,37,24
2018/7/18,36,22
2018/7/19,38,24
2018/7/20,37,25
2018/7/21,36,24
2018/7/22,37,26
2018/7/23,37,24
2018/7/24,36,24
2018/7/25,36,24
2018/7/26,35,23
2018/7/27,35,23
2018/7/28,31,25
2018/7/29,32,24
2018/7/30,34,24
2018/7/31,35,23
2018/8/1,36,25
2018/8/2,37,25
2018/8/3,37,23
2018/8/4,37,22
2018/8/5,38,25
2018/8/6,36,24
2018/8/7,34,22
2018/8/8,32,25
2018/8/9,32,25
2018/8/10,34,25
2018/8/11,34,25
2018/8/12,33,26
2018/8/13,35,25
2018/8/14,36,25
2018/8/15,33,26
2018/8/16,32,21
2018/8/17,29,17
2018/8/18,32,20
2018/8/19,32,19
2018/8/20,33,25
2018/8/21,33,26
2018/8/22,36,26
2018/8/23,30,25
2018/8/24,32,26
2018/8/25,34,25
2018/8/26,35,24
2018/8/27,34,24
2018/8/28,32,24
2018/8/29,34,23
2018/8/30,33,25
2018/8/31,32,24
2018/9/1,27,22
2018/9/2,30,22
2018/9/3,32,24
2018/9/4,29,22
2018/9/5,31,21
2018/9/6,32,24
2018/9/7,30,24
2018/9/8,26,22
2018/9/9,29,22
2018/9/10,25,19
2018/9/11,28,20
2018/9/12,25,19
2018/9/13,26,20
2018/9/14,25,22
2018/9/15,28,22
2018/9/16,30,23
2018/9/17,29,19
2018/9/18,29,16
2018/9/19,29,17
2018/9/20,22,20
2018/9/21,26,23
2018/9/22,27,17
2018/9/23,28,18
2018/9/24,28,19
2018/9/25,24,17
2018/9/26,24,17
2018/9/27,24,15
2018/9/28,27,16
2018/9/29,20,19
2018/9/30,26,20
2018/10/1,24,12
2018/10/2,24,12
2018/10/3,26,15
2018/10/4,22,19
2018/10/5,27,22
2018/10/6,29,20
2018/10/7,27,15
2018/10/8,27,14
2018/10/9,27,16
2018/10/10,27,18
2018/10/11,21,13
2018/10/12,20,12
2018/10/13,20,13
2018/10/14,23,12
2018/10/15,23,12
2018/10/16,23,12
2018/10/17,22,11
2018/10/18,24,12
2018/10/19,22,10
2018/10/20,20,11
2018/10/21,23,8
2018/10/22,24,13
2018/10/23,20,15
2018/10/24,22,12
2018/10/25,22,8
2018/10/26,24,17
2018/10/27,21,8
2018/10/28,19,8
2018/10/29,20,9
2018/10/30,19,5
2018/10/31,18,7
2018/11/1,17,7
2018/11/2,19,7
2018/11/3,20,9
2018/11/4,21,12
2018/11/5,22,14
2018/11/6,20,12
2018/11/7,22,11
2018/11/8,23,15
2018/11/9,22,12
2018/11/10,20,8
2018/11/11,21,9
2018/11/12,21,11
2018/11/13,18,9
2018/11/14,16,8
2018/11/15,17,5
2018/11/16,19,8
2018/11/17,18,6
2018/11/18,19,10
2018/11/19,14,6
2018/11/20,15,4
2018/11/21,14,6
2018/11/22,10,5
2018/11/23,8,4
2018/11/24,12,4
2018/11/25,15,5
2018/11/26,14,7
2018/11/27,18,8
2018/11/28,15,9
2018/11/29,12,7
2018/11/30,12,5
2018/12/1,12,6
2018/12/2,15,5
2018/12/3,13,10
2018/12/4,19,12
2018/12/5,12,6
2018/12/6,11,6
2018/12/7,9,2
2018/12/8,5,1
2018/12/9,4,2
2018/12/10,6,2
2018/12/11,9,1
2018/12/12,8,4
2018/12/13,7,2
2018/12/14,4,2
2018/12/15,5,0
2018/12/16,9,0
2018/12/17,10,3
2018/12/18,8,2
2018/12/19,10,1
2018/12/20,11,4
2018/12/21,13,4
2018/12/22,13,8
2018/12/23,13,7
2018/12/24,7,1
2018/12/25,9,1
2018/12/26,8,3
2018/12/27,6,1
2018/12/28,1,0
2018/12/29,3,0
2018/12/30,2,0
2018/12/31,4,-1
