ら戳,程蔼放,程放
2018/1/1,31,25
2018/1/2,30,25
2018/1/3,30,25
2018/1/4,31,25
2018/1/5,30,24
2018/1/6,30,25
2018/1/7,31,25
2018/1/8,31,25
2018/1/9,31,25
2018/1/10,31,25
2018/1/11,30,24
2018/1/12,30,24
2018/1/13,30,24
2018/1/14,30,24
2018/1/15,30,24
2018/1/16,31,24
2018/1/17,31,25
2018/1/18,32,24
2018/1/19,31,24
2018/1/20,31,25
2018/1/21,31,25
2018/1/22,31,25
2018/1/23,31,25
2018/1/24,30,25
2018/1/25,31,26
2018/1/26,31,25
2018/1/27,31,25
2018/1/28,31,25
2018/1/29,31,26
2018/1/30,32,25
2018/1/31,32,26
2018/2/1,31,25
2018/2/2,32,26
2018/2/3,32,25
2018/2/4,32,25
2018/2/5,32,25
2018/2/6,32,25
2018/2/7,32,24
2018/2/8,32,25
2018/2/9,32,25
2018/2/10,32,25
2018/2/11,32,25
2018/2/12,32,26
2018/2/13,32,26
2018/2/14,33,26
2018/2/15,33,26
2018/2/16,33,26
2018/2/17,33,26
2018/2/18,32,26
2018/2/19,32,26
2018/2/20,33,27
2018/2/21,32,26
2018/2/22,32,26
2018/2/23,32,27
2018/2/24,32,26
2018/2/25,33,26
2018/2/26,32,26
2018/2/27,33,26
2018/2/28,32,26
2018/3/1,33,26
2018/3/2,32,25
2018/3/3,32,26
2018/3/4,32,25
2018/3/5,32,25
2018/3/6,33,26
2018/3/7,32,26
2018/3/8,33,26
2018/3/9,33,27
2018/3/10,33,27
2018/3/11,33,26
2018/3/12,33,26
2018/3/13,33,26
2018/3/14,33,25
2018/3/15,32,25
2018/3/16,33,26
2018/3/17,33,26
2018/3/18,33,26
2018/3/19,33,25
2018/3/20,33,25
2018/3/21,33,26
2018/3/22,33,26
2018/3/23,32,26
2018/3/24,32,26
2018/3/25,33,26
2018/3/26,33,26
2018/3/27,33,26
2018/3/28,32,25
2018/3/29,33,26
2018/3/30,33,26
2018/3/31,32,26
2018/4/1,31,25
2018/4/2,32,26
2018/4/3,32,26
2018/4/4,32,26
2018/4/5,33,26
2018/4/6,32,26
2018/4/7,33,26
2018/4/8,32,27
2018/4/9,32,26
2018/4/10,33,26
2018/4/11,33,26
2018/4/12,33,26
2018/4/13,33,26
