ら戳,程蔼放,程放
2018/1/1,4,-5
2018/1/2,2,-8
2018/1/3,1,-8
2018/1/4,-1,-6
2018/1/5,2,-6
2018/1/6,3,-6
2018/1/7,4,-5
2018/1/8,6,-2
2018/1/9,1,-6
2018/1/10,-3,-12
2018/1/11,-6,-14
2018/1/12,-4,-10
2018/1/13,3,-6
2018/1/14,5,1
2018/1/15,8,-2
2018/1/16,6,0
2018/1/17,8,-1
2018/1/18,6,-6
2018/1/19,6,-2
2018/1/20,7,-6
2018/1/21,7,-6
2018/1/22,5,-12
2018/1/23,-8,-15
2018/1/24,-9,-17
2018/1/25,-8,-18
2018/1/26,-10,-17
2018/1/27,-3,-9
2018/1/28,-1,-12
2018/1/29,-4,-12
2018/1/30,1,-6
2018/1/31,1,-8
2018/2/1,1,-8
2018/2/2,3,-9
2018/2/3,-4,-13
2018/2/4,-4,-12
2018/2/5,-5,-15
2018/2/6,-6,-14
2018/2/7,-2,-11
2018/2/8,1,-6
2018/2/9,5,-1
2018/2/10,4,-8
2018/2/11,-2,-9
2018/2/12,-2,-8
2018/2/13,5,2
2018/2/14,9,-5
2018/2/15,3,-6
2018/2/16,5,-6
2018/2/17,2,-6
2018/2/18,6,-5
2018/2/19,8,-3
2018/2/20,7,-5
2018/2/21,4,-5
2018/2/22,7,-2
2018/2/23,9,-2
2018/2/24,7,-1
2018/2/25,8,-5
2018/2/26,9,-2
2018/2/27,10,3
2018/2/28,8,1
2018/3/1,4,-6
2018/3/2,5,-4
2018/3/3,13,8
2018/3/4,16,6
2018/3/5,10,-2
2018/3/6,11,0
2018/3/7,10,2
2018/3/8,9,-1
2018/3/9,9,-1
2018/3/10,9,-1
2018/3/11,15,5
2018/3/12,15,5
2018/3/13,18,9
2018/3/14,20,12
2018/3/15,14,5
2018/3/16,12,0
2018/3/17,13,4
2018/3/18,13,7
2018/3/19,12,2
2018/3/20,10,1
2018/3/21,6,1
2018/3/22,11,1
2018/3/23,13,2
2018/3/24,14,6
2018/3/25,16,7
2018/3/26,17,6
2018/3/27,20,9
2018/3/28,21,10
2018/3/29,20,8
2018/3/30,20,8
2018/3/31,21,9
2018/4/1,18,14
2018/4/2,22,14
2018/4/3,22,12
2018/4/4,17,8
2018/4/5,12,9
2018/4/6,13,2
