ら戳,程放,程蔼放
2018/1/1,19,13
2018/1/2,19,13
2018/1/3,21,14
2018/1/4,21,16
2018/1/5,22,13
2018/1/6,19,13
2018/1/7,21,17
2018/1/8,24,12
2018/1/9,16,9
2018/1/10,16,9
2018/1/11,15,8
2018/1/12,14,10
2018/1/13,16,12
2018/1/14,19,14
2018/1/15,20,16
2018/1/16,22,17
2018/1/17,23,13
2018/1/18,22,15
2018/1/19,21,16
2018/1/20,20,16
2018/1/21,20,16
2018/1/22,20,13
2018/1/23,20,13
2018/1/24,18,12
2018/1/25,17,10
2018/1/26,16,11
2018/1/27,18,13
2018/1/28,21,14
2018/1/29,17,12
2018/1/30,18,13
2018/1/31,19,14
2018/2/1,18,12
2018/2/2,18,11
2018/2/3,15,10
2018/2/4,14,9
2018/2/5,14,9
2018/2/6,14,9
2018/2/7,15,11
2018/2/8,16,12
2018/2/9,20,17
2018/2/10,23,14
2018/2/11,16,10
2018/2/12,15,9
2018/2/13,15,11
2018/2/14,19,16
2018/2/15,22,17
2018/2/16,23,15
2018/2/17,19,13
2018/2/18,20,15
2018/2/19,23,16
2018/2/20,23,17
2018/2/21,21,14
2018/2/22,21,13
2018/2/23,20,14
2018/2/24,22,16
2018/2/25,23,15
2018/2/26,20,13
2018/2/27,21,17
2018/2/28,24,14
2018/3/1,21,14
2018/3/2,22,18
2018/3/3,24,19
2018/3/4,26,19
2018/3/5,25,16
2018/3/6,21,15
2018/3/7,22,17
2018/3/8,21,12
2018/3/9,18,13
2018/3/10,18,13
2018/3/11,21,16
2018/3/12,21,16
2018/3/13,22,16
2018/3/14,23,16
2018/3/15,24,17
2018/3/16,23,16
2018/3/17,23,16
2018/3/18,23,17
2018/3/19,24,18
2018/3/20,25,17
2018/3/21,20,12
2018/3/22,17,12
2018/3/23,20,14
2018/3/24,21,16
2018/3/25,23,16
2018/3/26,22,14
2018/3/27,24,16
2018/3/28,25,16
2018/3/29,25,15
2018/3/30,25,17
2018/3/31,25,16
2018/4/1,25,15
2018/4/2,25,16
2018/4/3,24,17
2018/4/4,26,18
2018/4/5,26,18
2018/4/6,26,14
2018/4/7,19,12
2018/4/8,20,14
2018/4/9,23,16
2018/4/10,25,19
2018/4/11,26,19
2018/4/12,26,19
2018/4/13,26,20
2018/4/14,27,19
2018/4/15,23,17
2018/4/16,23,17
2018/4/17,21,17
2018/4/18,24,17
2018/4/19,25,18
2018/4/20,25,19
2018/4/21,26,20
2018/4/22,26,20
2018/4/23,27,21
2018/4/24,27,19
2018/4/25,24,19
2018/4/26,24,19
2018/4/27,25,17
2018/4/28,25,16
2018/4/29,26,19
2018/4/30,26,20
2018/5/1,28,20
2018/5/2,28,20
2018/5/3,23,18
2018/5/4,24,18
2018/5/5,26,21
2018/5/6,27,21
2018/5/7,28,21
2018/5/8,27,20
2018/5/9,27,20
2018/5/10,26,20
2018/5/11,26,21
2018/5/12,27,21
2018/5/13,27,21
2018/5/14,28,22
2018/5/15,29,22
2018/5/16,29,22
2018/5/17,30,23
2018/5/18,29,23
2018/5/19,29,23
2018/5/20,30,24
2018/5/21,28,21
2018/5/22,29,23
2018/5/23,28,21
2018/5/24,28,20
2018/5/25,29,24
2018/5/26,29,25
2018/5/27,30,24
2018/5/28,30,25
2018/5/29,30,25
2018/5/30,30,25
2018/5/31,31,24
2018/6/1,28,23
2018/6/2,28,24
2018/6/3,28,25
2018/6/4,29,26
2018/6/5,31,25
2018/6/6,30,26
2018/6/7,31,25
2018/6/8,30,24
2018/6/9,30,25
2018/6/10,30,24
2018/6/11,29,23
2018/6/12,28,22
2018/6/13,28,25
2018/6/14,29,25
2018/6/15,28,25
2018/6/16,29,25
2018/6/17,29,25
2018/6/18,29,26
2018/6/19,30,26
2018/6/20,30,26
2018/6/21,31,26
2018/6/22,30,26
2018/6/23,31,26
2018/6/24,31,26
2018/6/25,31,26
2018/6/26,31,26
2018/6/27,31,27
2018/6/28,31,25
2018/6/29,31,26
2018/6/30,30,25
2018/7/1,29,25
2018/7/2,30,26
2018/7/3,29,25
2018/7/4,29,24
2018/7/5,29,26
2018/7/6,29,24
2018/7/7,31,26
2018/7/8,31,25
2018/7/9,31,27
2018/7/10,30,25
2018/7/11,31,25
2018/7/12,30,26
2018/7/13,30,25
2018/7/14,31,25
2018/7/15,31,26
2018/7/16,31,26
2018/7/17,30,26
2018/7/18,31,26
2018/7/19,31,26
2018/7/20,30,26
2018/7/21,30,26
2018/7/22,32,26
2018/7/23,31,26
2018/7/24,31,25
2018/7/25,31,25
2018/7/26,32,27
2018/7/27,32,27
2018/7/28,32,26
2018/7/29,32,27
2018/7/30,32,26
2018/7/31,32,27
2018/8/1,32,27
2018/8/2,30,27
2018/8/3,32,26
2018/8/4,32,26
2018/8/5,32,26
2018/8/6,32,26
2018/8/7,32,26
2018/8/8,32,25
2018/8/9,32,26
2018/8/10,32,26
2018/8/11,31,27
2018/8/12,32,26
2018/8/13,31,27
2018/8/14,30,26
2018/8/15,29,26
2018/8/16,30,25
2018/8/17,30,26
2018/8/18,31,25
2018/8/19,31,26
