ら戳,程蔼放,程放
2018/1/1,3,-4
2018/1/2,1,-8
2018/1/3,0,-6
2018/1/4,-1,-7
2018/1/5,0,-7
2018/1/6,-1,-6
2018/1/7,-1,-4
2018/1/8,4,0
2018/1/9,3,-5
2018/1/10,-1,-10
2018/1/11,-1,-11
2018/1/12,-2,-9
2018/1/13,-2,-10
2018/1/14,-1,-9
2018/1/15,3,-3
2018/1/16,-1,-7
2018/1/17,1,-6
2018/1/18,1,-6
2018/1/19,-2,-10
2018/1/20,0,-10
2018/1/21,0,-10
2018/1/22,-5,-11
2018/1/23,1,-10
2018/1/24,-6,-14
2018/1/25,-4,-8
2018/1/26,-4,-7
2018/1/27,-3,-9
2018/1/28,-4,-11
2018/1/29,-6,-12
2018/1/30,-5,-11
2018/1/31,-2,-11
2018/2/1,-3,-14
2018/2/2,-2,-10
2018/2/3,-1,-6
2018/2/4,0,-6
2018/2/5,0,-8
2018/2/6,-2,-13
2018/2/7,-3,-9
2018/2/8,-2,-7
2018/2/9,0,-5
2018/2/10,3,-4
2018/2/11,-1,-11
2018/2/12,-8,-12
2018/2/13,-6,-11
2018/2/14,-2,-8
2018/2/15,-4,-8
2018/2/16,-2,-9
2018/2/17,0,-11
2018/2/18,-5,-11
2018/2/19,-2,-9
2018/2/20,-3,-10
2018/2/21,-5,-10
2018/2/22,-1,-8
2018/2/23,2,-8
2018/2/24,-3,-9
2018/2/25,-4,-9
2018/2/26,-2,-12
2018/2/27,-1,-11
2018/2/28,0,-9
2018/3/1,3,-1
2018/3/2,1,-4
2018/3/3,4,-1
2018/3/4,5,-5
2018/3/5,0,-7
2018/3/6,-3,-7
2018/3/7,-1,-8
2018/3/8,4,2
2018/3/9,7,-2
2018/3/10,7,-2
2018/3/11,2,-5
2018/3/12,2,-5
2018/3/13,8,1
2018/3/14,6,-1
2018/3/15,8,-3
2018/3/16,0,-4
2018/3/17,2,-3
2018/3/18,6,0
2018/3/19,3,-4
2018/3/20,0,-8
2018/3/21,4,-4
2018/3/22,5,-4
2018/3/23,5,-5
2018/3/24,7,1
2018/3/25,9,2
2018/3/26,8,-1
2018/3/27,11,3
2018/3/28,15,3
2018/3/29,9,0
2018/3/30,7,0
2018/3/31,12,2
2018/4/1,8,1
2018/4/2,11,5
2018/4/3,11,2
2018/4/4,6,-1
2018/4/5,4,-2
2018/4/6,4,-1
2018/4/7,4,-1
2018/4/8,7,-1
2018/4/9,7,2
2018/4/10,10,4
2018/4/11,12,4
2018/4/12,9,2
2018/4/13,6,-1
2018/4/14,10,3
2018/4/15,8,2
2018/4/16,9,2
2018/4/17,16,4
2018/4/18,16,4
2018/4/19,18,7
2018/4/20,19,8
2018/4/21,20,6
2018/4/22,14,3
2018/4/23,14,4
2018/4/24,14,6
2018/4/25,12,5
2018/4/26,15,8
2018/4/27,11,1
2018/4/28,13,4
2018/4/29,19,10
2018/4/30,20,8
2018/5/1,18,7
2018/5/2,15,8
2018/5/3,14,8
2018/5/4,13,6
2018/5/5,13,4
2018/5/6,11,5
2018/5/7,14,5
2018/5/8,13,6
2018/5/9,13,6
2018/5/10,13,4
2018/5/11,19,11
2018/5/12,22,10
2018/5/13,15,11
2018/5/14,18,8
2018/5/15,22,11
2018/5/16,24,14
2018/5/17,15,7
2018/5/18,11,6
2018/5/19,10,6
2018/5/20,17,6
2018/5/21,23,9
2018/5/22,25,11
2018/5/23,21,11
2018/5/24,20,8
2018/5/25,16,8
2018/5/26,16,6
2018/5/27,16,8
2018/5/28,19,10
2018/5/29,23,11
2018/5/30,24,13
2018/5/31,18,13
2018/6/1,20,10
2018/6/2,23,13
2018/6/3,24,14
2018/6/4,26,14
2018/6/5,28,15
2018/6/6,27,15
2018/6/7,26,14
2018/6/8,18,8
2018/6/9,15,5
2018/6/10,16,9
2018/6/11,16,11
2018/6/12,12,9
2018/6/13,12,8
2018/6/14,12,7
2018/6/15,17,10
2018/6/16,17,8
2018/6/17,17,11
2018/6/18,20,14
2018/6/19,22,14
2018/6/20,20,13
2018/6/21,20,14
2018/6/22,23,14
2018/6/23,25,15
2018/6/24,20,12
2018/6/25,17,10
2018/6/26,19,14
2018/6/27,21,15
2018/6/28,24,18
2018/6/29,24,19
2018/6/30,26,19
2018/7/1,24,19
2018/7/2,23,20
2018/7/3,24,19
2018/7/4,23,16
2018/7/5,17,10
2018/7/6,19,13
2018/7/7,18,14
2018/7/8,24,17
2018/7/9,24,18
2018/7/10,23,18
2018/7/11,24,15
2018/7/12,25,18
2018/7/13,24,19
2018/7/14,27,18
2018/7/15,24,18
2018/7/16,24,17
2018/7/17,25,18
2018/7/18,25,18
2018/7/19,26,19
2018/7/20,28,21
2018/7/21,30,20
2018/7/22,25,15
2018/7/23,25,17
2018/7/24,27,19
2018/7/25,27,19
2018/7/26,31,17
2018/7/27,31,17
2018/7/28,27,21
2018/7/29,29,22
2018/7/30,29,22
2018/7/31,31,23
2018/8/1,28,19
2018/8/2,28,18
2018/8/3,27,17
2018/8/4,22,16
2018/8/5,24,15
2018/8/6,25,14
2018/8/7,23,15
2018/8/8,25,19
2018/8/9,25,20
2018/8/10,24,18
2018/8/11,24,17
2018/8/12,25,19
2018/8/13,26,20
2018/8/14,23,19
2018/8/15,22,17
2018/8/16,18,12
2018/8/17,19,14
2018/8/18,22,15
2018/8/19,23,16
2018/8/20,28,18
2018/8/21,25,21
2018/8/22,30,20
2018/8/23,29,19
2018/8/24,26,19
2018/8/25,24,20
2018/8/26,24,16
2018/8/27,22,16
2018/8/28,20,15
2018/8/29,21,16
2018/8/30,22,19
2018/8/31,24,17
2018/9/1,22,13
2018/9/2,23,15
2018/9/3,23,18
2018/9/4,25,20
2018/9/5,26,18
2018/9/6,26,17
2018/9/7,24,19
2018/9/8,22,15
2018/9/9,19,13
2018/9/10,18,8
2018/9/11,20,8
2018/9/12,21,13
2018/9/13,22,16
2018/9/14,25,14
2018/9/15,26,16
2018/9/16,26,15
2018/9/17,23,14
2018/9/18,22,14
2018/9/19,21,13
2018/9/20,22,11
